scenario,target_network_snr,mean_network_rho_memory,std_network_rho_memory,mean_network_rho_null,std_network_rho_null,mean_delta_network_rho,mean_Ec_over_Ei,std_Ec_over_Ei,glitch_enabled,glitch_detector
with_V1_glitch,15.0,15.000244,0.016502,0.041499,0.011975,14.958745,2.592884,0.001665,True,V1
no_glitch,15.0,15.000246,0.016502,0.025044,0.010919,14.975202,2.592885,0.001665,False,none
