run,lambda_min,lambda_max,delta_M_at_tstar,Rh_null,Rh_lambda_max,amplification,R_match,delta_match_after_reset
baseline_fixed,0.0,0.2,2.3529926151760966e-05,2.1449404699512529e-10,4.266284012465623e-06,19889.99,0.2613274131034083,0.0
amplified_fixed,0.0,0.2,0.004839245922857761,2.1001394719363178e-10,0.0009438717273359079,4494329.0,0.261727538740273,0.0
