lambda_mem,delta_M_at_tstar,delta_match_after_reset,post_delta_h_norm,post_delta_h_max_abs
0.0,0.004839245922857761,0.0,2.1001394719363178e-10,4.900568423282792e-10
0.02,0.004839245922857761,0.0,9.315033631671277e-05,5.052663125081763e-05
0.05,0.004839245922857761,0.0,0.00023338286362822763,0.00012631668196565887
0.1,0.004839245922857761,0.0,0.00046847058637468597,0.0002526337153990685
0.2,0.004839245922857761,0.0,0.0009438717273359079,0.0005052688375523813
