lambda_mem,delta_M_at_tstar,delta_match_after_reset,post_delta_h_norm,post_delta_h_max_abs,delta_x_matched_state,delta_acc_memory_term,delta_acc_markovian_matched_state
0.0,0.0048392459228577,0.0,2.1001394719363175e-10,4.900568423282792e-10,0.0,0.0,0.0
0.02,0.0048392459228577,0.0,9.315033631671276e-05,5.052663125081763e-05,0.0,9.6784918457154e-05,0.0
0.05,0.0048392459228577,0.0,0.0002333828636282,0.0001263166819656,0.0,0.000241962296142885,0.0
0.1,0.0048392459228577,0.0,0.0004684705863746,0.000252633715399,0.0,0.00048392459228577,0.0
0.2,0.0048392459228577,0.0,0.0009438717273359,0.0005052688375523,0.0,0.00096784918457154,0.0
